2111038-70685
6 o -71.171445 42.318828
15 h -71.087751 42.296386
61 o -71.077776 42.316336
62 o -71.073313 42.320698
74 h -71.087751 42.296386
76 o -71.076351 42.350536
78 h -71.087751 42.296386
2124508-105086
1 h -71.087751 42.296386
23 o -71.04092 42.389041
28 o -71.076351 42.350536
31 o -71.059488 42.362427
36 o -70.997976 42.393286
61 o -71.076903 42.366379
67 o -71.069581 42.365351
77 o -71.076351 42.350536
99 h -71.087751 42.296386
2124509-105086
1 h -71.087751 42.296386
37 o -71.076351 42.350536
49 h -71.087751 42.296386
89 o -71.051539 42.354237
95 h -71.087751 42.296386
2124515-105086
1 h -71.087751 42.296386
102 o -71.076351 42.350536
103 h -71.087751 42.296386
2124531-105086
1 h -71.087751 42.296386
16 o -71.059488 42.362427
24 o -71.043515 42.368535
30 o -71.084901 42.316336
41 o -71.005101 42.393286
45 o -71.084901 42.316336
46 o -71.083789 42.310755
48 o -71.06934 42.360479
51 o -71.171445 42.318828
53 o -71.059488 42.362427
55 o -71.076351 42.255061
62 o -71.076351 42.350536
64 o -71.005101 42.393286
70 h -71.087751 42.296386
2124564-105087
1 h -70.936592 42.473463
44 o -71.084702 42.338759
48 h -70.936592 42.473463
77 o -71.07872 42.350343
84 h -70.936592 42.473463
2125332-113280
1 h -71.103347 42.348608
40 o -71.083397 42.348608
48 o -71.076809 42.350322
58 h -71.103347 42.348608
109 o -71.109017 42.316717
2125369-113280
1 h -71.103347 42.348608
18 o -71.076809 42.350322
41 o -71.069305 42.354595
48 h -71.103347 42.348608
95 o -71.083397 42.348608
97 h -71.103347 42.348608
2125533-2606
1 h -71.08352 42.282218
20 w -71.230673 42.3215
88 h -71.08352 42.282218
91 o -71.07782 42.350618
105 h -71.08352 42.282218
2125606-20926
1 h -71.047646 42.337647
23 w -71.073296 42.351897
50 o -71.016296 42.223647
57 o -71.055004 42.354295
68 h -71.047646 42.337647
2125607-20926
1 h -71.047646 42.337647
24 w -71.073296 42.351897
36 o -71.018739 42.359633
38 w -71.073296 42.351897
51 o -71.073278 42.346446
73 h -71.047646 42.337647
2125608-20926
1 h -71.047646 42.337647
23 w -71.073296 42.351897
51 h -71.047646 42.337647
2125609-20926
1 h -71.047646 42.337647
24 w -71.073296 42.351897
51 h -71.047646 42.337647
2125610-20926
1 h -71.047646 42.337647
24 w -71.073296 42.351897
51 h -71.047646 42.337647
2125611-20926
1 h -71.047646 42.337647
24 w -71.073296 42.351897
52 h -71.047646 42.337647
2125612-20926
1 h -71.047646 42.337647
24 w -71.073296 42.351897
51 h -71.047646 42.337647
2125613-20926
1 h -71.047646 42.337647
21 o -71.021996 42.366147
24 w -71.073296 42.351897
32 o -71.016296 42.223647
37 w -71.073296 42.351897
50 h -71.047646 42.337647
67 o -71.021996 42.366147
83 h -71.047646 42.337647
90 o -71.016296 42.223647
95 h -71.047646 42.337647
114 o -71.023511 42.22444
2125614-20926
1 h -71.047646 42.337647
24 w -71.073296 42.351897
51 h -71.047646 42.337647
56 o -71.023768 42.224072
70 h -71.047646 42.337647
2125615-20926
1 h -71.047646 42.337647
